"Sample"	"Detector"	"Cq"
"491"	"CST005"	"hsa-miR-544"	"26.814"
"492"	"CST005"	"hsa-miR-548a"	"31.793"
"493"	"CST005"	"hsa-miR-548c"	"32.005"
"494"	"CST005"	"hsa-miR-551b"	"15.496"
"495"	"CST005"	"hsa-miR-574-3p"	"28.622"
"496"	"CST005"	"hsa-miR-590-5p"	"24.633"
"497"	"CST005"	"hsa-miR-597"	"27.046"
"498"	"CST005"	"hsa-miR-598"	"37.102"
"499"	"CST005"	"hsa-miR-618"	"29.019"
"500"	"CST005"	"hsa-miR-628-5p"	"15.578"
"501"	"CST005"	"hsa-miR-651"	"27.805"
"502"	"CST005"	"hsa-miR-652"	"20.321"
"503"	"CST005"	"hsa-miR-660"	"36.404"
"504"	"CST005"	"hsa-miR-708"	"25.159"
"505"	"CST005"	"hsa-miR-885-5p"	"35.084"
"506"	"CST005"	"hsa-miR-9"	"32.061"
"507"	"CST005"	"hsa-miR-92a"	"27.684"
"508"	"CST005"	"hsa-miR-99a"	"25.044"
"509"	"CST005"	"hsa-miR-99b"	"26.183"
"510"	"CST005"	"mmu-miR-140"	"29.027"
"511"	"CST005"	"mmu-miR-93"	"29.203"
"512"	"CST005"	"RNU48"	"31.929"
"513"	"CST005"	"U6_snRNA_rt1"	"28.402"
"514"	"CST005"	"U6_snRNA_rt2"	"28.579"
"515"	"CST005"	"U6_snRNA_rt3"	"28.408"
"516"	"CST005"	"U6_snRNA_rt4"	"28.055"
"517"	"CUM009"	"ath-miR159a"	"17.542"
"518"	"CUM009"	"hsa-let-7b"	"30.563"
"519"	"CUM009"	"hsa-let-7c"	"29.411"
"520"	"CUM009"	"hsa-miR-100"	"30.091"
"521"	"CUM009"	"hsa-miR-106a"	"21.383"
"522"	"CUM009"	"hsa-miR-106b"	"31.048"
"523"	"CUM009"	"hsa-miR-125b"	"26.4"
"524"	"CUM009"	"hsa-miR-126"	NA
"525"	"CUM009"	"hsa-miR-127"	"36.203"
"526"	"CUM009"	"hsa-miR-130a"	"29.539"
"527"	"CUM009"	"hsa-miR-130b"	"37.106"
"528"	"CUM009"	"hsa-miR-133a"	NA
"529"	"CUM009"	"hsa-miR-138"	"34.282"
"530"	"CUM009"	"hsa-miR-142-3p"	"32.04"
"531"	"CUM009"	"hsa-miR-143"	NA
"532"	"CUM009"	"hsa-miR-145"	"34.415"
"533"	"CUM009"	"hsa-miR-146a"	"31.673"
"534"	"CUM009"	"hsa-miR-147"	"28.139"
"535"	"CUM009"	"hsa-miR-148a"	"29.821"
"536"	"CUM009"	"hsa-miR-150"	"27.171"
"537"	"CUM009"	"hsa-miR-152"	"38.185"
"538"	"CUM009"	"hsa-miR-155"	"17.234"
"539"	"CUM009"	"hsa-miR-15a"	"28.217"
"540"	"CUM009"	"hsa-miR-15b"	"33.279"
"541"	"CUM009"	"hsa-miR-16"	"33.84"
"542"	"CUM009"	"hsa-miR-181a"	"30.396"
"543"	"CUM009"	"hsa-miR-184"	"23.203"
"544"	"CUM009"	"hsa-miR-186"	"31.356"
"545"	"CUM009"	"hsa-miR-191"	"29.294"
"546"	"CUM009"	"hsa-miR-192"	"30.956"
"547"	"CUM009"	"hsa-miR-193a-5p"	"32.478"
"548"	"CUM009"	"hsa-miR-193b"	"27.643"
"549"	"CUM009"	"hsa-miR-194"	"15.282"
"550"	"CUM009"	"hsa-miR-195"	"30.659"
"551"	"CUM009"	"hsa-miR-197"	"28.399"
"552"	"CUM009"	"hsa-miR-199a-3p"	"31.145"
"553"	"CUM009"	"hsa-miR-19a"	NA
"554"	"CUM009"	"hsa-miR-19b"	"28.098"
"555"	"CUM009"	"hsa-miR-200b"	"33.232"
"556"	"CUM009"	"hsa-miR-200c"	"29.286"
"557"	"CUM009"	"hsa-miR-202"	"35.49"
"558"	"CUM009"	"hsa-miR-203"	"27.328"
"559"	"CUM009"	"hsa-miR-204"	"24.795"
"560"	"CUM009"	"hsa-miR-20a"	"28.474"
"561"	"CUM009"	"hsa-miR-20b"	NA
"562"	"CUM009"	"hsa-miR-21"	"27.586"
"563"	"CUM009"	"hsa-miR-211"	"25.794"
"564"	"CUM009"	"hsa-miR-212"	"32.362"
"565"	"CUM009"	"hsa-miR-214"	"29.586"
"566"	"CUM009"	"hsa-miR-218"	"28.977"
"567"	"CUM009"	"hsa-miR-222"	"27.886"
"568"	"CUM009"	"hsa-miR-223"	"29.638"
"569"	"CUM009"	"hsa-miR-23b"	NA
"570"	"CUM009"	"hsa-miR-24"	"25.459"
"571"	"CUM009"	"hsa-miR-25"	"27.11"
"572"	"CUM009"	"hsa-miR-26a"	"31.141"
"573"	"CUM009"	"hsa-miR-27a"	"30.671"
"574"	"CUM009"	"hsa-miR-27b"	"31.292"
"575"	"CUM009"	"hsa-miR-28-3p"	"28.105"
"576"	"CUM009"	"hsa-miR-296"	NA
"577"	"CUM009"	"hsa-miR-29a"	"29.152"
"578"	"CUM009"	"hsa-miR-29c"	"31.042"
"579"	"CUM009"	"hsa-miR-302a"	"21.112"
"580"	"CUM009"	"hsa-miR-302b"	"20.453"
"581"	"CUM009"	"hsa-miR-302c"	"24.407"
"582"	"CUM009"	"hsa-miR-30b"	"27.89"
"583"	"CUM009"	"hsa-miR-30c"	"28.393"
"584"	"CUM009"	"hsa-miR-320"	"26.286"
"585"	"CUM009"	"hsa-miR-328"	"28.096"
"586"	"CUM009"	"hsa-miR-331"	"19.062"
"587"	"CUM009"	"hsa-miR-335"	NA
"588"	"CUM009"	"hsa-miR-340"	"33.679"
"589"	"CUM009"	"hsa-miR-342-3p"	"32.271"
"590"	"CUM009"	"hsa-miR-345"	"33.406"
"591"	"CUM009"	"hsa-miR-34a"	"15.711"
"592"	"CUM009"	"hsa-miR-363"	"28.94"
"593"	"CUM009"	"hsa-miR-365"	"31.561"
"594"	"CUM009"	"hsa-miR-367"	"18.683"
"595"	"CUM009"	"hsa-miR-372"	"27.506"
"596"	"CUM009"	"hsa-miR-373"	"29.785"
"597"	"CUM009"	"hsa-miR-374"	"19.685"
"598"	"CUM009"	"hsa-miR-375"	"28.309"
"599"	"CUM009"	"hsa-miR-376a"	"30.824"
"600"	"CUM009"	"hsa-miR-381"	"28.942"
"601"	"CUM009"	"hsa-miR-383"	"31.387"
"602"	"CUM009"	"hsa-miR-410"	"20.555"
"603"	"CUM009"	"hsa-miR-411"	"31.708"
"604"	"CUM009"	"hsa-miR-422a"	NA
"605"	"CUM009"	"hsa-miR-429"	"35.172"
"606"	"CUM009"	"hsa-miR-454"	"17.697"
"607"	"CUM009"	"hsa-miR-483-5p"	"15.088"
"608"	"CUM009"	"hsa-miR-484"	"29.557"
"609"	"CUM009"	"hsa-miR-486"	"19.125"
"610"	"CUM009"	"hsa-miR-509-5p"	"25.188"
"611"	"CUM009"	"hsa-miR-512-3p"	"26.737"
"612"	"CUM009"	"hsa-miR-518d"	"27.686"
"613"	"CUM009"	"hsa-miR-518f"	"16.405"
"614"	"CUM009"	"hsa-miR-520b"	"30.529"
"615"	"CUM009"	"hsa-miR-520d-5p"	"32.08"
"616"	"CUM009"	"hsa-miR-520e"	"23.566"
"617"	"CUM009"	"hsa-miR-520f"	"30.824"
"618"	"CUM009"	"hsa-miR-523"	"18.68"
"619"	"CUM009"	"hsa-miR-532"	"34.094"
"620"	"CUM009"	"hsa-miR-544"	"26.738"
"621"	"CUM009"	"hsa-miR-548a"	"31.605"
"622"	"CUM009"	"hsa-miR-548c"	"34.218"
"623"	"CUM009"	"hsa-miR-551b"	"15.655"
"624"	"CUM009"	"hsa-miR-574-3p"	"30.484"
"625"	"CUM009"	"hsa-miR-590-5p"	"24.729"
"626"	"CUM009"	"hsa-miR-597"	"27.678"
"627"	"CUM009"	"hsa-miR-598"	"31.027"
"628"	"CUM009"	"hsa-miR-618"	"13.383"
"629"	"CUM009"	"hsa-miR-628-5p"	"15.45"
"630"	"CUM009"	"hsa-miR-651"	"27.438"
"631"	"CUM009"	"hsa-miR-652"	"20.294"
"632"	"CUM009"	"hsa-miR-660"	NA
"633"	"CUM009"	"hsa-miR-708"	"26.856"
"634"	"CUM009"	"hsa-miR-885-5p"	"35.652"
"635"	"CUM009"	"hsa-miR-9"	"19.522"
"636"	"CUM009"	"hsa-miR-92a"	"29.977"
"637"	"CUM009"	"hsa-miR-99a"	"28.24"
"638"	"CUM009"	"hsa-miR-99b"	"37.542"
"639"	"CUM009"	"mmu-miR-140"	"30.968"
"640"	"CUM009"	"mmu-miR-93"	NA
"641"	"CUM009"	"RNU48"	NA
"642"	"CUM009"	"U6_snRNA_rt1"	"27.432"
"643"	"CUM009"	"U6_snRNA_rt2"	"27.4"
"644"	"CUM009"	"U6_snRNA_rt3"	"27.447"
"645"	"CUM009"	"U6_snRNA_rt4"	"27.336"
"646"	"DDI103"	"ath-miR159a"	"18.507"
"647"	"DDI103"	"hsa-let-7b"	"28.771"
"648"	"DDI103"	"hsa-let-7c"	"30.288"
"649"	"DDI103"	"hsa-miR-100"	"33.698"
"650"	"DDI103"	"hsa-miR-106a"	"16.57"
"651"	"DDI103"	"hsa-miR-106b"	"33.126"
"652"	"DDI103"	"hsa-miR-125b"	"27.444"
"653"	"DDI103"	"hsa-miR-126"	NA
"654"	"DDI103"	"hsa-miR-127"	NA
"655"	"DDI103"	"hsa-miR-130a"	"29.852"
"656"	"DDI103"	"hsa-miR-130b"	"33.806"
"657"	"DDI103"	"hsa-miR-133a"	"33.034"
"658"	"DDI103"	"hsa-miR-138"	"33.76"
"659"	"DDI103"	"hsa-miR-142-3p"	NA
"660"	"DDI103"	"hsa-miR-143"	NA
"661"	"DDI103"	"hsa-miR-145"	"38.306"
"662"	"DDI103"	"hsa-miR-146a"	"32.156"
"663"	"DDI103"	"hsa-miR-147"	"29.599"
"664"	"DDI103"	"hsa-miR-148a"	"22.697"
"665"	"DDI103"	"hsa-miR-150"	"29.271"
"666"	"DDI103"	"hsa-miR-152"	"30.889"
"667"	"DDI103"	"hsa-miR-155"	"15.916"
"668"	"DDI103"	"hsa-miR-15a"	"27.514"
"669"	"DDI103"	"hsa-miR-15b"	NA
"670"	"DDI103"	"hsa-miR-16"	"33.09"
"671"	"DDI103"	"hsa-miR-181a"	NA
"672"	"DDI103"	"hsa-miR-184"	"21.769"
"673"	"DDI103"	"hsa-miR-186"	"28.832"
"674"	"DDI103"	"hsa-miR-191"	"27.331"
"675"	"DDI103"	"hsa-miR-192"	"29.666"
"676"	"DDI103"	"hsa-miR-193a-5p"	NA
"677"	"DDI103"	"hsa-miR-193b"	"32.022"
"678"	"DDI103"	"hsa-miR-194"	"14.022"
"679"	"DDI103"	"hsa-miR-195"	"31.777"
"680"	"DDI103"	"hsa-miR-197"	"28.318"
"681"	"DDI103"	"hsa-miR-199a-3p"	NA
"682"	"DDI103"	"hsa-miR-19a"	NA
"683"	"DDI103"	"hsa-miR-19b"	"28.102"
"684"	"DDI103"	"hsa-miR-200b"	NA
"685"	"DDI103"	"hsa-miR-200c"	"30.993"
"686"	"DDI103"	"hsa-miR-202"	"33.845"
"687"	"DDI103"	"hsa-miR-203"	"31.674"
"688"	"DDI103"	"hsa-miR-204"	"27.392"
"689"	"DDI103"	"hsa-miR-20a"	"29.208"
"690"	"DDI103"	"hsa-miR-20b"	NA
"691"	"DDI103"	"hsa-miR-21"	"25.736"
"692"	"DDI103"	"hsa-miR-211"	"27.218"
"693"	"DDI103"	"hsa-miR-212"	"30.965"
"694"	"DDI103"	"hsa-miR-214"	NA
"695"	"DDI103"	"hsa-miR-218"	"32.385"
"696"	"DDI103"	"hsa-miR-222"	"28.521"
"697"	"DDI103"	"hsa-miR-223"	"31.625"
"698"	"DDI103"	"hsa-miR-23b"	"34.064"
"699"	"DDI103"	"hsa-miR-24"	"24.907"
"700"	"DDI103"	"hsa-miR-25"	"30.884"
"701"	"DDI103"	"hsa-miR-26a"	"34.646"
"702"	"DDI103"	"hsa-miR-27a"	"30.069"
"703"	"DDI103"	"hsa-miR-27b"	"27.676"
"704"	"DDI103"	"hsa-miR-28-3p"	"28.368"
"705"	"DDI103"	"hsa-miR-296"	"32.251"
"706"	"DDI103"	"hsa-miR-29a"	"29.793"
"707"	"DDI103"	"hsa-miR-29c"	"30.796"
"708"	"DDI103"	"hsa-miR-302a"	"21.114"
"709"	"DDI103"	"hsa-miR-302b"	"21.728"
"710"	"DDI103"	"hsa-miR-302c"	"24.78"
"711"	"DDI103"	"hsa-miR-30b"	"30.887"
"712"	"DDI103"	"hsa-miR-30c"	"30.367"
"713"	"DDI103"	"hsa-miR-320"	"27.606"
"714"	"DDI103"	"hsa-miR-328"	"27.295"
"715"	"DDI103"	"hsa-miR-331"	"29.824"
"716"	"DDI103"	"hsa-miR-335"	"32.308"
"717"	"DDI103"	"hsa-miR-340"	NA
"718"	"DDI103"	"hsa-miR-342-3p"	"31.469"
"719"	"DDI103"	"hsa-miR-345"	"29.407"
"720"	"DDI103"	"hsa-miR-34a"	"13.723"
"721"	"DDI103"	"hsa-miR-363"	"32.266"
"722"	"DDI103"	"hsa-miR-365"	NA
"723"	"DDI103"	"hsa-miR-367"	"21.361"
"724"	"DDI103"	"hsa-miR-372"	"27.573"
"725"	"DDI103"	"hsa-miR-373"	"30.681"
"726"	"DDI103"	"hsa-miR-374"	"16.813"
"727"	"DDI103"	"hsa-miR-375"	"33.811"
"728"	"DDI103"	"hsa-miR-376a"	"33.292"
"729"	"DDI103"	"hsa-miR-381"	"27.974"
"730"	"DDI103"	"hsa-miR-383"	"38.027"
"731"	"DDI103"	"hsa-miR-410"	"20.772"
"732"	"DDI103"	"hsa-miR-411"	"37.678"
"733"	"DDI103"	"hsa-miR-422a"	"38.519"
"734"	"DDI103"	"hsa-miR-429"	NA
"735"	"DDI103"	"hsa-miR-454"	"16.857"
"736"	"DDI103"	"hsa-miR-483-5p"	"27.735"
"737"	"DDI103"	"hsa-miR-484"	"28.036"
"738"	"DDI103"	"hsa-miR-486"	"21.667"
"739"	"DDI103"	"hsa-miR-509-5p"	"28.03"
"740"	"DDI103"	"hsa-miR-512-3p"	"26.666"
"741"	"DDI103"	"hsa-miR-518d"	"25.962"
"742"	"DDI103"	"hsa-miR-518f"	"14.713"
"743"	"DDI103"	"hsa-miR-520b"	"29.904"
"744"	"DDI103"	"hsa-miR-520d-5p"	"31.683"
"745"	"DDI103"	"hsa-miR-520e"	"27.654"
"746"	"DDI103"	"hsa-miR-520f"	"35.948"
"747"	"DDI103"	"hsa-miR-523"	"14.864"
"748"	"DDI103"	"hsa-miR-532"	NA
"749"	"DDI103"	"hsa-miR-544"	"23.227"
"750"	"DDI103"	"hsa-miR-548a"	"30.234"
"751"	"DDI103"	"hsa-miR-548c"	"31.088"
"752"	"DDI103"	"hsa-miR-551b"	"21.4"
"753"	"DDI103"	"hsa-miR-574-3p"	"29.81"
"754"	"DDI103"	"hsa-miR-590-5p"	"25.342"
"755"	"DDI103"	"hsa-miR-597"	"26.913"
"756"	"DDI103"	"hsa-miR-598"	NA
"757"	"DDI103"	"hsa-miR-618"	"15.954"
"758"	"DDI103"	"hsa-miR-628-5p"	"13.941"
"759"	"DDI103"	"hsa-miR-651"	"27.745"
"760"	"DDI103"	"hsa-miR-652"	"17.898"
"761"	"DDI103"	"hsa-miR-660"	NA
"762"	"DDI103"	"hsa-miR-708"	"27.256"
"763"	"DDI103"	"hsa-miR-885-5p"	"37.973"
"764"	"DDI103"	"hsa-miR-9"	"34.487"
"765"	"DDI103"	"hsa-miR-92a"	"29.373"
"766"	"DDI103"	"hsa-miR-99a"	"30.871"
"767"	"DDI103"	"hsa-miR-99b"	"31.522"
"768"	"DDI103"	"mmu-miR-140"	"32.101"
"769"	"DDI103"	"mmu-miR-93"	"31.956"
"770"	"DDI103"	"RNU48"	"32.624"
"771"	"DDI103"	"U6_snRNA_rt1"	"27.206"
"772"	"DDI103"	"U6_snRNA_rt2"	"26.31"
"773"	"DDI103"	"U6_snRNA_rt3"	"26.879"
"774"	"DDI103"	"U6_snRNA_rt4"	"27.173"
"775"	"DKE111"	"ath-miR159a"	"19.247"
"776"	"DKE111"	"hsa-let-7b"	"38.668"
"777"	"DKE111"	"hsa-let-7c"	NA
"778"	"DKE111"	"hsa-miR-100"	"32.367"
"779"	"DKE111"	"hsa-miR-106a"	"21.692"
"780"	"DKE111"	"hsa-miR-106b"	"33.043"
"781"	"DKE111"	"hsa-miR-125b"	"28.157"
"782"	"DKE111"	"hsa-miR-126"	"38.064"
"783"	"DKE111"	"hsa-miR-127"	"37.48"
"784"	"DKE111"	"hsa-miR-130a"	NA
"785"	"DKE111"	"hsa-miR-130b"	NA
"786"	"DKE111"	"hsa-miR-133a"	"31.795"
"787"	"DKE111"	"hsa-miR-138"	NA
"788"	"DKE111"	"hsa-miR-142-3p"	"32.418"
"789"	"DKE111"	"hsa-miR-143"	"34.475"
"790"	"DKE111"	"hsa-miR-145"	NA
"791"	"DKE111"	"hsa-miR-146a"	"33.535"
"792"	"DKE111"	"hsa-miR-147"	"31.225"
"793"	"DKE111"	"hsa-miR-148a"	"23.851"
"794"	"DKE111"	"hsa-miR-150"	"30.927"
"795"	"DKE111"	"hsa-miR-152"	"30.507"
"796"	"DKE111"	"hsa-miR-155"	"17.893"
"797"	"DKE111"	"hsa-miR-15a"	"30.433"
"798"	"DKE111"	"hsa-miR-15b"	NA
"799"	"DKE111"	"hsa-miR-16"	"35.119"
"800"	"DKE111"	"hsa-miR-181a"	NA
"801"	"DKE111"	"hsa-miR-184"	"24.566"
"802"	"DKE111"	"hsa-miR-186"	"32.161"
"803"	"DKE111"	"hsa-miR-191"	"29.332"
"804"	"DKE111"	"hsa-miR-192"	"32.912"
"805"	"DKE111"	"hsa-miR-193a-5p"	NA
"806"	"DKE111"	"hsa-miR-193b"	"32.275"
"807"	"DKE111"	"hsa-miR-194"	"15.933"
"808"	"DKE111"	"hsa-miR-195"	"31.645"
"809"	"DKE111"	"hsa-miR-197"	"31.927"
"810"	"DKE111"	"hsa-miR-199a-3p"	"33.166"
"811"	"DKE111"	"hsa-miR-19a"	"37.47"
"812"	"DKE111"	"hsa-miR-19b"	"32.093"
"813"	"DKE111"	"hsa-miR-200b"	NA
"814"	"DKE111"	"hsa-miR-200c"	"34.356"
"815"	"DKE111"	"hsa-miR-202"	"37.124"
"816"	"DKE111"	"hsa-miR-203"	"31.255"
"817"	"DKE111"	"hsa-miR-204"	"27.185"
"818"	"DKE111"	"hsa-miR-20a"	"31.837"
"819"	"DKE111"	"hsa-miR-20b"	NA
"820"	"DKE111"	"hsa-miR-21"	"31.278"
"821"	"DKE111"	"hsa-miR-211"	"27.949"
"822"	"DKE111"	"hsa-miR-212"	"33.258"
"823"	"DKE111"	"hsa-miR-214"	NA
"824"	"DKE111"	"hsa-miR-218"	"32.328"
"825"	"DKE111"	"hsa-miR-222"	"30.058"
"826"	"DKE111"	"hsa-miR-223"	"28.6"
"827"	"DKE111"	"hsa-miR-23b"	NA
"828"	"DKE111"	"hsa-miR-24"	"27.15"
"829"	"DKE111"	"hsa-miR-25"	"28.936"
"830"	"DKE111"	"hsa-miR-26a"	"29.081"
"831"	"DKE111"	"hsa-miR-27a"	"30.204"
"832"	"DKE111"	"hsa-miR-27b"	"28.852"
"833"	"DKE111"	"hsa-miR-28-3p"	"28.91"
"834"	"DKE111"	"hsa-miR-296"	NA
"835"	"DKE111"	"hsa-miR-29a"	"30.349"
"836"	"DKE111"	"hsa-miR-29c"	"32.741"
"837"	"DKE111"	"hsa-miR-302a"	"22.176"
"838"	"DKE111"	"hsa-miR-302b"	"22.89"
"839"	"DKE111"	"hsa-miR-302c"	"26.461"
"840"	"DKE111"	"hsa-miR-30b"	"30.433"
"841"	"DKE111"	"hsa-miR-30c"	"30.007"
"842"	"DKE111"	"hsa-miR-320"	"30.368"
"843"	"DKE111"	"hsa-miR-328"	"32.474"
"844"	"DKE111"	"hsa-miR-331"	"34.395"
"845"	"DKE111"	"hsa-miR-335"	NA
"846"	"DKE111"	"hsa-miR-340"	NA
"847"	"DKE111"	"hsa-miR-342-3p"	"35.114"
"848"	"DKE111"	"hsa-miR-345"	"32.849"
"849"	"DKE111"	"hsa-miR-34a"	"16.683"
"850"	"DKE111"	"hsa-miR-363"	"29.878"
"851"	"DKE111"	"hsa-miR-365"	"38.495"
"852"	"DKE111"	"hsa-miR-367"	"19.996"
"853"	"DKE111"	"hsa-miR-372"	"29.779"
"854"	"DKE111"	"hsa-miR-373"	"31.564"
"855"	"DKE111"	"hsa-miR-374"	"20.786"
"856"	"DKE111"	"hsa-miR-375"	"34.461"
"857"	"DKE111"	"hsa-miR-376a"	"33.98"
"858"	"DKE111"	"hsa-miR-381"	"31.581"
"859"	"DKE111"	"hsa-miR-383"	"33.676"
"860"	"DKE111"	"hsa-miR-410"	"23.123"
"861"	"DKE111"	"hsa-miR-411"	"35.345"
"862"	"DKE111"	"hsa-miR-422a"	"35.1"
"863"	"DKE111"	"hsa-miR-429"	NA
"864"	"DKE111"	"hsa-miR-454"	"21.015"
"865"	"DKE111"	"hsa-miR-483-5p"	"16.337"
"866"	"DKE111"	"hsa-miR-484"	"31.764"
"867"	"DKE111"	"hsa-miR-486"	NA
"868"	"DKE111"	"hsa-miR-509-5p"	"27.733"
"869"	"DKE111"	"hsa-miR-512-3p"	"27.005"
"870"	"DKE111"	"hsa-miR-518d"	"28.931"
"871"	"DKE111"	"hsa-miR-518f"	"16.231"
"872"	"DKE111"	"hsa-miR-520b"	"29.605"
"873"	"DKE111"	"hsa-miR-520d-5p"	"31.709"
"874"	"DKE111"	"hsa-miR-520e"	"24.07"
"875"	"DKE111"	"hsa-miR-520f"	"34.374"
"876"	"DKE111"	"hsa-miR-523"	"18.948"
"877"	"DKE111"	"hsa-miR-532"	NA
"878"	"DKE111"	"hsa-miR-544"	"28.243"
"879"	"DKE111"	"hsa-miR-548a"	"30.365"
"880"	"DKE111"	"hsa-miR-548c"	"32.301"
"881"	"DKE111"	"hsa-miR-551b"	"17.985"
"882"	"DKE111"	"hsa-miR-574-3p"	"38.071"
"883"	"DKE111"	"hsa-miR-590-5p"	"26.568"
"884"	"DKE111"	"hsa-miR-597"	"29.887"
"885"	"DKE111"	"hsa-miR-598"	"35.402"
"886"	"DKE111"	"hsa-miR-618"	"14.308"
"887"	"DKE111"	"hsa-miR-628-5p"	"17.19"
"888"	"DKE111"	"hsa-miR-651"	"29.052"
"889"	"DKE111"	"hsa-miR-652"	"22.497"
"890"	"DKE111"	"hsa-miR-660"	NA
"891"	"DKE111"	"hsa-miR-708"	"27.18"
"892"	"DKE111"	"hsa-miR-885-5p"	"32.012"
"893"	"DKE111"	"hsa-miR-9"	NA
"894"	"DKE111"	"hsa-miR-92a"	NA
"895"	"DKE111"	"hsa-miR-99a"	"30.412"
"896"	"DKE111"	"hsa-miR-99b"	NA
"897"	"DKE111"	"mmu-miR-140"	NA
"898"	"DKE111"	"mmu-miR-93"	NA
"899"	"DKE111"	"RNU48"	"32.381"
"900"	"DKE111"	"U6_snRNA_rt1"	"28.256"
"901"	"DKE111"	"U6_snRNA_rt2"	"26.805"
"902"	"DKE111"	"U6_snRNA_rt3"	"28.401"
"903"	"DKE111"	"U6_snRNA_rt4"	"28.597"
"904"	"DMA102"	"ath-miR159a"	"16.885"
"905"	"DMA102"	"hsa-let-7b"	"32.947"
"906"	"DMA102"	"hsa-let-7c"	"33.51"
"907"	"DMA102"	"hsa-miR-100"	"30.01"
"908"	"DMA102"	"hsa-miR-106a"	"18.852"
"909"	"DMA102"	"hsa-miR-106b"	"29.766"
"910"	"DMA102"	"hsa-miR-125b"	"28.142"
"911"	"DMA102"	"hsa-miR-126"	"35.397"
"912"	"DMA102"	"hsa-miR-127"	"34.152"
"913"	"DMA102"	"hsa-miR-130a"	"29.619"
"914"	"DMA102"	"hsa-miR-130b"	"36.525"
"915"	"DMA102"	"hsa-miR-133a"	"33.314"
"916"	"DMA102"	"hsa-miR-138"	NA
"917"	"DMA102"	"hsa-miR-142-3p"	NA
"918"	"DMA102"	"hsa-miR-143"	"28.44"
"919"	"DMA102"	"hsa-miR-145"	"32.428"
"920"	"DMA102"	"hsa-miR-146a"	"30.576"
"921"	"DMA102"	"hsa-miR-147"	"28.089"
"922"	"DMA102"	"hsa-miR-148a"	"30.17"
"923"	"DMA102"	"hsa-miR-150"	"26.941"
"924"	"DMA102"	"hsa-miR-152"	"37.665"
"925"	"DMA102"	"hsa-miR-155"	"15.593"
"926"	"DMA102"	"hsa-miR-15a"	"26.914"
"927"	"DMA102"	"hsa-miR-15b"	NA
"928"	"DMA102"	"hsa-miR-16"	"39.376"
"929"	"DMA102"	"hsa-miR-181a"	"30.356"
"930"	"DMA102"	"hsa-miR-184"	"24.542"
"931"	"DMA102"	"hsa-miR-186"	"30.51"
"932"	"DMA102"	"hsa-miR-191"	"30.725"
"933"	"DMA102"	"hsa-miR-192"	"30.534"
"934"	"DMA102"	"hsa-miR-193a-5p"	"33.485"
"935"	"DMA102"	"hsa-miR-193b"	NA
"936"	"DMA102"	"hsa-miR-194"	"14.186"
"937"	"DMA102"	"hsa-miR-195"	"31.782"
"938"	"DMA102"	"hsa-miR-197"	"29.657"
"939"	"DMA102"	"hsa-miR-199a-3p"	NA
"940"	"DMA102"	"hsa-miR-19a"	"35.401"
"941"	"DMA102"	"hsa-miR-19b"	"28.079"
"942"	"DMA102"	"hsa-miR-200b"	NA
"943"	"DMA102"	"hsa-miR-200c"	NA
"944"	"DMA102"	"hsa-miR-202"	"30.81"
"945"	"DMA102"	"hsa-miR-203"	"31.007"
"946"	"DMA102"	"hsa-miR-204"	"24.618"
"947"	"DMA102"	"hsa-miR-20a"	"28.326"
"948"	"DMA102"	"hsa-miR-20b"	NA
"949"	"DMA102"	"hsa-miR-21"	"28.877"
"950"	"DMA102"	"hsa-miR-211"	"23.809"
"951"	"DMA102"	"hsa-miR-212"	"29.142"
"952"	"DMA102"	"hsa-miR-214"	NA
"953"	"DMA102"	"hsa-miR-218"	"28.545"
"954"	"DMA102"	"hsa-miR-222"	"29.44"
"955"	"DMA102"	"hsa-miR-223"	"29.357"
"956"	"DMA102"	"hsa-miR-23b"	"34.035"
"957"	"DMA102"	"hsa-miR-24"	"26.701"
"958"	"DMA102"	"hsa-miR-25"	"26.125"
"959"	"DMA102"	"hsa-miR-26a"	NA
"960"	"DMA102"	"hsa-miR-27a"	"29.517"
"961"	"DMA102"	"hsa-miR-27b"	"29.954"
"962"	"DMA102"	"hsa-miR-28-3p"	"28.45"
"963"	"DMA102"	"hsa-miR-296"	"30.079"
"964"	"DMA102"	"hsa-miR-29a"	"30.092"
"965"	"DMA102"	"hsa-miR-29c"	"34.017"
"966"	"DMA102"	"hsa-miR-302a"	"19.311"
"967"	"DMA102"	"hsa-miR-302b"	"20.463"
"968"	"DMA102"	"hsa-miR-302c"	"23.565"
"969"	"DMA102"	"hsa-miR-30b"	"28.164"
"970"	"DMA102"	"hsa-miR-30c"	"28.52"
"971"	"DMA102"	"hsa-miR-320"	"25.805"
"972"	"DMA102"	"hsa-miR-328"	"28.192"
"973"	"DMA102"	"hsa-miR-331"	NA
"974"	"DMA102"	"hsa-miR-335"	"31.856"
"975"	"DMA102"	"hsa-miR-340"	NA
"976"	"DMA102"	"hsa-miR-342-3p"	"36.356"
"977"	"DMA102"	"hsa-miR-345"	"32.277"
"978"	"DMA102"	"hsa-miR-34a"	"14.51"
"979"	"DMA102"	"hsa-miR-363"	"27.847"
"980"	"DMA102"	"hsa-miR-365"	"35.474"
"981"	"DMA102"	"hsa-miR-367"	"17.583"
"982"	"DMA102"	"hsa-miR-372"	"26.004"
"983"	"DMA102"	"hsa-miR-373"	"28.208"
"984"	"DMA102"	"hsa-miR-374"	"18.217"
