"Sample"	"Detector"	"Cq"
"112"	"CCA004"	"hsa-miR-618"	"17.082"
"113"	"CCA004"	"hsa-miR-628-5p"	"15.356"
"114"	"CCA004"	"hsa-miR-651"	"25.435"
"115"	"CCA004"	"hsa-miR-652"	"26.17"
"116"	"CCA004"	"hsa-miR-660"	"26.624"
"117"	"CCA004"	"hsa-miR-708"	"27.187"
"118"	"CCA004"	"hsa-miR-885-5p"	"35.619"
"119"	"CCA004"	"hsa-miR-9"	NA
"120"	"CCA004"	"hsa-miR-92a"	"24.678"
"121"	"CCA004"	"hsa-miR-99a"	"23.662"
"122"	"CCA004"	"hsa-miR-99b"	"23.859"
"123"	"CCA004"	"mmu-miR-140"	"28.072"
"124"	"CCA004"	"mmu-miR-93"	"28.285"
"125"	"CCA004"	"RNU48"	"30.7"
"126"	"CCA004"	"U6_snRNA_rt1"	"24.406"
"127"	"CCA004"	"U6_snRNA_rt2"	"24.886"
"128"	"CCA004"	"U6_snRNA_rt3"	"24.063"
"129"	"CCA004"	"U6_snRNA_rt4"	"24.885"
"130"	"CIC007"	"ath-miR159a"	NA
"131"	"CIC007"	"hsa-let-7b"	"30.075"
"132"	"CIC007"	"hsa-let-7c"	"28.796"
"133"	"CIC007"	"hsa-miR-100"	"29.223"
"134"	"CIC007"	"hsa-miR-106a"	"20.091"
"135"	"CIC007"	"hsa-miR-106b"	"28.415"
"136"	"CIC007"	"hsa-miR-125b"	"25.74"
"137"	"CIC007"	"hsa-miR-126"	"31.779"
"138"	"CIC007"	"hsa-miR-127"	"29.183"
"139"	"CIC007"	"hsa-miR-130a"	"28.388"
"140"	"CIC007"	"hsa-miR-130b"	"29.278"
"141"	"CIC007"	"hsa-miR-133a"	NA
"142"	"CIC007"	"hsa-miR-138"	"33.424"
"143"	"CIC007"	"hsa-miR-142-3p"	"32.227"
"144"	"CIC007"	"hsa-miR-143"	"31.021"
"145"	"CIC007"	"hsa-miR-145"	"32.972"
"146"	"CIC007"	"hsa-miR-146a"	"29.496"
"147"	"CIC007"	"hsa-miR-147"	"28.814"
"148"	"CIC007"	"hsa-miR-148a"	"34.085"
"149"	"CIC007"	"hsa-miR-150"	"27.851"
"150"	"CIC007"	"hsa-miR-152"	"29.013"
"151"	"CIC007"	"hsa-miR-155"	"18.503"
"152"	"CIC007"	"hsa-miR-15a"	"27.186"
"153"	"CIC007"	"hsa-miR-15b"	"31.428"
"154"	"CIC007"	"hsa-miR-16"	"30.802"
"155"	"CIC007"	"hsa-miR-181a"	NA
"156"	"CIC007"	"hsa-miR-184"	"21.94"
"157"	"CIC007"	"hsa-miR-186"	"29.084"
"158"	"CIC007"	"hsa-miR-191"	"27.23"
"159"	"CIC007"	"hsa-miR-192"	"30"
"160"	"CIC007"	"hsa-miR-193a-5p"	"31.288"
"161"	"CIC007"	"hsa-miR-193b"	"28.118"
"162"	"CIC007"	"hsa-miR-194"	"14.461"
"163"	"CIC007"	"hsa-miR-195"	"34.223"
"164"	"CIC007"	"hsa-miR-197"	"28.711"
"165"	"CIC007"	"hsa-miR-199a-3p"	"29.217"
"166"	"CIC007"	"hsa-miR-19a"	"31.242"
"167"	"CIC007"	"hsa-miR-19b"	"25.911"
"168"	"CIC007"	"hsa-miR-200b"	"31.22"
"169"	"CIC007"	"hsa-miR-200c"	"34.677"
"170"	"CIC007"	"hsa-miR-202"	"31.309"
"171"	"CIC007"	"hsa-miR-203"	"27.14"
"172"	"CIC007"	"hsa-miR-204"	"24.205"
"173"	"CIC007"	"hsa-miR-20a"	"26.631"
"174"	"CIC007"	"hsa-miR-20b"	"31.893"
"175"	"CIC007"	"hsa-miR-21"	"27.308"
"176"	"CIC007"	"hsa-miR-211"	"24.163"
"177"	"CIC007"	"hsa-miR-212"	"28.825"
"178"	"CIC007"	"hsa-miR-214"	NA
"179"	"CIC007"	"hsa-miR-218"	"29.079"
"180"	"CIC007"	"hsa-miR-222"	"30.92"
"181"	"CIC007"	"hsa-miR-223"	"27.512"
"182"	"CIC007"	"hsa-miR-23b"	NA
"183"	"CIC007"	"hsa-miR-24"	"25.088"
"184"	"CIC007"	"hsa-miR-25"	"26.122"
"185"	"CIC007"	"hsa-miR-26a"	"30.603"
"186"	"CIC007"	"hsa-miR-27a"	"30.764"
"187"	"CIC007"	"hsa-miR-27b"	"27.479"
"188"	"CIC007"	"hsa-miR-28-3p"	"29.175"
"189"	"CIC007"	"hsa-miR-296"	"12.012"
"190"	"CIC007"	"hsa-miR-29a"	"29.158"
"191"	"CIC007"	"hsa-miR-29c"	"30.539"
"192"	"CIC007"	"hsa-miR-302a"	"20.21"
"193"	"CIC007"	"hsa-miR-302b"	"20.557"
"194"	"CIC007"	"hsa-miR-302c"	"24.906"
"195"	"CIC007"	"hsa-miR-30b"	"27.039"
"196"	"CIC007"	"hsa-miR-30c"	"27.926"
"197"	"CIC007"	"hsa-miR-320"	"27.312"
"198"	"CIC007"	"hsa-miR-328"	"27.878"
"199"	"CIC007"	"hsa-miR-331"	"31.555"
"200"	"CIC007"	"hsa-miR-335"	"33.135"
"201"	"CIC007"	"hsa-miR-340"	NA
"202"	"CIC007"	"hsa-miR-342-3p"	"32.032"
"203"	"CIC007"	"hsa-miR-345"	"30.479"
"204"	"CIC007"	"hsa-miR-34a"	"17.514"
"205"	"CIC007"	"hsa-miR-363"	"29.997"
"206"	"CIC007"	"hsa-miR-365"	"34.212"
"207"	"CIC007"	"hsa-miR-367"	"20.797"
"208"	"CIC007"	"hsa-miR-372"	"27.484"
"209"	"CIC007"	"hsa-miR-373"	"29.726"
"210"	"CIC007"	"hsa-miR-374"	"20.331"
"211"	"CIC007"	"hsa-miR-375"	"31.434"
"212"	"CIC007"	"hsa-miR-376a"	"32.528"
"213"	"CIC007"	"hsa-miR-381"	"28.361"
"214"	"CIC007"	"hsa-miR-383"	"28.077"
"215"	"CIC007"	"hsa-miR-410"	"20.879"
"216"	"CIC007"	"hsa-miR-411"	"31.825"
"217"	"CIC007"	"hsa-miR-422a"	"32.572"
"218"	"CIC007"	"hsa-miR-429"	NA
"219"	"CIC007"	"hsa-miR-454"	"17.763"
"220"	"CIC007"	"hsa-miR-483-5p"	"17.565"
"221"	"CIC007"	"hsa-miR-484"	"28.642"
"222"	"CIC007"	"hsa-miR-486"	"18.591"
"223"	"CIC007"	"hsa-miR-509-5p"	"23.905"
"224"	"CIC007"	"hsa-miR-512-3p"	"29.247"
"225"	"CIC007"	"hsa-miR-518d"	"31.413"
"226"	"CIC007"	"hsa-miR-518f"	"16.155"
"227"	"CIC007"	"hsa-miR-520b"	"29.057"
"228"	"CIC007"	"hsa-miR-520d-5p"	"32.933"
"229"	"CIC007"	"hsa-miR-520e"	"23.086"
"230"	"CIC007"	"hsa-miR-520f"	"28.709"
"231"	"CIC007"	"hsa-miR-523"	"17.75"
"232"	"CIC007"	"hsa-miR-532"	"32.154"
"233"	"CIC007"	"hsa-miR-544"	"26.53"
"234"	"CIC007"	"hsa-miR-548a"	"32.763"
"235"	"CIC007"	"hsa-miR-548c"	"31.148"
